Age,Attrition,DailyRate,DistanceFromHome,Education,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobSatisfaction,MonthlyIncome,MonthlyRate,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,BusinessTravel_Travel_Frequently,BusinessTravel_Travel_Rarely,Department_Research & Development,Department_Sales,EducationField_Life Sciences,EducationField_Marketing,EducationField_Medical,EducationField_Other,EducationField_Technical Degree,JobRole_Human Resources,JobRole_Laboratory Technician,JobRole_Manager,JobRole_Manufacturing Director,JobRole_Research Director,JobRole_Research Scientist,JobRole_Sales Executive,JobRole_Sales Representative,MaritalStatus_Married,MaritalStatus_Single,Age_Scaled,MonthlyIncome_Scaled,TotalWorkingYears_Scaled,YearsAtCompany_Scaled,AgeGroup,TenureRatio,IncomeCategory
35,0,1097,11,2,3,1,79,2,3,1,9884,8302,2,1,13,3,3,1,10,3,3,4,0,2,3,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,-0.2106607044718917,0.8093331428265332,-0.16451140099023315,-0.4911735278257753,Middle-Aged,0.36363636363636365,High
26,0,1443,23,3,3,0,47,2,2,4,4157,21436,7,1,19,3,3,1,5,2,2,2,2,0,0,False,True,False,True,False,True,False,False,False,False,False,False,False,False,False,True,False,True,False,-1.1961773664814839,-0.5066545253859198,-0.8073390444129942,-0.8177339465973219,Young,0.3333333333333333,Medium
33,0,515,1,2,1,0,98,3,3,4,13458,15146,1,1,12,3,3,0,15,1,3,15,14,8,12,True,False,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,-0.42966440714069,1.6305903326626265,0.4783162424325279,1.3049087754177313,Middle-Aged,0.9375,High
35,0,853,18,5,2,1,71,3,3,1,9069,11031,1,0,22,4,4,1,9,3,2,9,8,1,8,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,-0.2106607044718917,0.6220570908633501,-0.2930769296747854,0.32522751910309133,Middle-Aged,0.9,High
35,0,1142,23,4,3,0,30,3,1,1,4014,16002,3,1,15,3,3,1,4,3,3,2,2,2,2,False,True,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,-0.2106607044718917,-0.5395140044420366,-0.9359045730975464,-0.8177339465973219,Middle-Aged,0.4,Medium
31,0,655,7,4,4,1,48,3,2,4,5915,9528,3,0,22,4,4,1,10,3,2,7,7,1,7,False,True,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,-0.6486681098094882,-0.10268974090582686,-0.16451140099023315,-0.0013328996684553085,Middle-Aged,0.6363636363636364,Medium
37,0,1115,1,4,1,1,51,2,2,3,5993,2689,1,0,18,3,3,1,7,2,4,7,5,0,7,False,True,True,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,0.008342998196906572,-0.08476638869339953,-0.5502079870438897,-0.0013328996684553085,Middle-Aged,0.875,Medium
32,0,427,1,3,1,1,33,3,2,4,6162,10877,1,1,22,4,2,1,9,3,3,9,8,7,8,False,True,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,-0.5391662584750891,-0.04593245889980697,-0.2930769296747854,0.32522751910309133,Middle-Aged,0.9,Medium
38,0,653,29,5,4,0,50,3,2,4,2406,5456,1,0,11,3,4,0,10,2,3,10,3,9,9,True,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,0.11784484953130571,-0.9090108038982309,-0.16451140099023315,0.48850772848886465,Middle-Aged,0.9090909090909091,Low
50,0,989,7,2,2,0,43,2,5,3,16581,16701,5,1,12,3,4,1,29,2,2,27,3,13,8,False,True,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,1.4318670655440953,2.3482137808601977,2.2782336440162587,3.264271288047011,Senior,0.9,High
59,0,1435,25,3,1,0,99,3,3,1,7637,2354,7,0,11,3,4,0,28,3,2,21,16,7,9,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True,2.4173837275536876,0.29300272716853043,2.1496681153317065,2.284590031732371,Senior,0.7241379310344828,High
36,0,1223,8,3,3,0,59,3,3,3,10096,8202,1,0,13,3,2,3,17,2,3,17,14,12,8,False,True,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,-0.10115885313749257,0.8580478949936434,0.7354472998016324,1.6314691941892778,Middle-Aged,0.9444444444444444,High
55,0,836,8,3,4,0,33,3,4,3,14756,19730,2,1,14,3,3,3,21,2,3,5,0,0,2,False,True,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,1.979376322216091,1.9288532964027636,1.2497094145398413,-0.32789331844000197,Senior,0.22727272727272727,High
36,0,1195,11,3,2,1,95,2,2,2,6499,22656,1,0,13,3,3,0,6,3,3,6,5,0,3,True,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,-0.10115885313749257,0.031505614120552146,-0.678773515728442,-0.16461310905422863,Middle-Aged,0.8571428571428571,Medium
45,0,1339,7,3,2,1,59,3,3,1,9724,18787,2,0,17,3,3,1,25,2,3,1,0,0,0,False,True,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,0.8843578088720997,0.7725672921343746,1.76397152927805,-0.9810141559830953,Middle-Aged,0.038461538461538464,High
35,0,664,1,3,2,1,79,3,1,1,2194,5868,4,0,13,3,4,1,5,2,2,3,2,1,2,True,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,-0.2106607044718917,-0.957725556065341,-0.8073390444129942,-0.6544537372115486,Middle-Aged,0.5,Low
36,1,318,9,3,4,1,79,2,1,3,3388,21777,0,1,17,3,1,1,2,0,2,1,0,0,0,False,True,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,-0.10115885313749257,-0.6833603952751073,-1.193035630466651,-0.9810141559830953,Middle-Aged,0.3333333333333333,Low
59,0,1225,1,1,1,0,57,2,2,3,5473,24668,7,0,11,3,4,0,20,2,2,4,3,1,3,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True,2.4173837275536876,-0.20425540344291507,1.121143885855289,-0.4911735278257753,Senior,0.19047619047619047,Medium
29,0,1328,2,3,3,1,76,3,1,2,2703,4956,0,0,23,4,4,1,6,3,3,5,4,0,4,False,True,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False,-0.8676718124782865,-0.8407641935509114,-0.678773515728442,-0.32789331844000197,Young,0.7142857142857143,Low
31,0,1082,1,4,3,1,87,3,1,2,2501,18775,1,0,17,3,2,0,1,4,3,1,1,1,0,False,True,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,-0.6486681098094882,-0.8871810800497617,-1.3216011591512031,-0.9810141559830953,Middle-Aged,0.5,Low
32,0,548,1,3,2,1,66,3,2,2,6220,7346,1,0,17,3,2,2,10,3,3,10,4,0,9,False,True,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False,-0.5391662584750891,-0.03260483802389946,-0.16451140099023315,0.48850772848886465,Middle-Aged,0.9090909090909091,Medium
36,0,132,6,3,2,0,55,4,1,4,3038,22002,3,0,12,3,2,0,5,3,3,1,0,0,0,False,True,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,-0.10115885313749257,-0.7637856936642042,-0.8073390444129942,-0.9810141559830953,Middle-Aged,0.16666666666666666,Low
31,0,746,8,4,3,0,61,3,2,4,4424,20682,1,0,23,4,4,0,11,2,3,11,7,1,8,False,True,True,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,-0.6486681098094882,-0.4453015120433801,-0.03594587230568093,0.651787937874638,Middle-Aged,0.9166666666666666,Medium
35,0,776,1,4,3,1,32,2,2,1,4312,23016,0,0,14,3,2,0,16,2,3,15,13,2,8,False,True,False,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,True,-0.2106607044718917,-0.47103760752789114,0.6068817711170802,1.3049087754177313,Middle-Aged,0.8823529411764706,Medium
45,0,193,6,4,4,1,52,3,3,1,13245,15067,4,1,14,3,2,0,17,3,4,0,0,0,0,False,True,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,0.8843578088720997,1.5816457939286905,0.7354472998016324,-1.1442943653688686,Middle-Aged,0.0,High
37,0,397,7,4,1,1,30,3,3,3,13664,25258,4,0,13,3,1,0,16,3,4,5,2,0,2,False,True,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,0.008342998196906572,1.6779263654287808,0.6068817711170802,-0.32789331844000197,Middle-Aged,0.29411764705882354,High
46,0,945,5,2,2,1,80,3,2,2,5021,10425,8,1,22,4,4,1,16,2,3,4,2,0,2,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,0.9938596602064987,-0.3081189316482632,0.6068817711170802,-0.4911735278257753,Senior,0.23529411764705882,Medium
30,0,852,1,1,4,1,55,2,2,4,5126,15998,1,1,12,3,3,2,10,1,2,10,8,3,0,False,True,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,-0.7581699611438873,-0.2839913421315341,-0.16451140099023315,0.48850772848886465,Young,0.9090909090909091,Medium
35,0,1214,1,3,2,1,30,2,1,3,2859,26278,1,0,18,3,1,0,6,3,3,6,4,0,4,False,True,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,-0.2106607044718917,-0.8049174891260568,-0.678773515728442,-0.16461310905422863,Middle-Aged,0.8571428571428571,Low
55,0,111,1,2,1,1,70,3,3,4,10239,18092,3,0,14,3,4,1,24,4,3,1,0,1,0,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,1.979376322216091,0.8909073740497602,1.6354060005934978,-0.9810141559830953,Senior,0.04,High
38,0,573,6,3,2,0,79,1,2,4,5329,15717,7,1,12,3,4,3,17,3,3,13,11,1,9,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,0.11784484953130571,-0.23734466906585786,0.7354472998016324,0.9783483566461847,Middle-Aged,0.7222222222222222,Medium
34,0,1153,1,2,1,1,94,3,2,2,4325,17736,1,0,15,3,3,0,5,2,3,5,2,1,3,False,True,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,-0.3201625558062908,-0.4680503821591533,-0.8073390444129942,-0.32789331844000197,Middle-Aged,0.8333333333333334,Medium
56,0,1400,7,3,4,1,49,1,3,4,7260,21698,4,0,11,3,1,0,37,3,2,6,4,0,2,False,True,True,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,2.08887817355049,0.20637319147513164,3.3067578734926766,-0.16461310905422863,Senior,0.15789473684210525,High
23,0,541,2,1,3,1,62,3,1,1,2322,9518,3,0,13,3,3,1,3,3,3,0,0,0,0,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,-1.5246829204846812,-0.9283128755116141,-1.0644701017820986,-1.1442943653688686,Young,0.0,Low
51,0,432,9,4,4,1,96,3,1,4,2075,18725,3,0,23,4,2,2,10,4,3,4,2,0,3,False,True,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,1.5413689168784945,-0.985070157517634,-0.16451140099023315,-0.4911735278257753,Senior,0.36363636363636365,Low
